,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,sex_int,title,title_num,emb_num,norm_price,Age_new
24,25,0,3,1,1,8.0,3,1,349909,4.215,S,3.0,1,miss,1,3.0,4.215,8.0
25,26,1,3,2,1,38.0,1,5,347077,4.483928571428572,S,3.0,1,mrs,2,3.0,4.483928571428572,38.0
26,27,0,3,3,0,26.5,0,0,2631,7.225,C,1.0,0,mr,3,1.0,7.225,26.5
27,28,0,1,3,0,19.0,3,2,19950,43.833333333333336,C23 C25 C27,3.0,0,mr,3,3.0,43.833333333333336,19.0
28,29,1,3,1,1,21.8,0,0,330959,7.8792,Q,2.0,1,miss,1,2.0,7.8792,21.8
29,30,0,3,3,0,26.5,0,0,349216,7.8958,S,3.0,0,mr,3,3.0,7.8958,26.5
30,31,0,1,5,0,40.0,0,0,PC 17601,27.7208,C,1.0,0,don,5,1.0,27.7208,40.0
31,32,1,1,2,1,34.6,1,0,PC 17569,73.2604,B78,1.0,1,mrs,2,1.0,73.2604,34.6
32,33,1,3,1,1,21.8,0,0,335677,7.75,Q,2.0,1,miss,1,2.0,7.75,21.8
33,34,0,2,3,0,66.0,0,0,C.A. 24579,10.5,S,3.0,0,mr,3,3.0,10.5,66.0
34,35,0,1,3,0,28.0,1,0,PC 17604,41.0854,C,1.0,0,mr,3,1.0,41.0854,28.0
35,36,0,1,3,0,42.0,1,0,113789,26.0,S,3.0,0,mr,3,3.0,26.0,42.0
36,37,1,3,3,0,26.5,0,0,2677,7.2292,C,1.0,0,mr,3,1.0,7.2292,26.5
37,38,0,3,3,0,21.0,0,0,A./5. 2152,8.05,S,3.0,0,mr,3,3.0,8.05,21.0
38,39,0,3,1,1,18.0,2,0,345764,6.0,S,3.0,1,miss,1,3.0,6.0,18.0
39,40,1,3,1,1,14.0,1,0,2651,5.62085,C,1.0,1,miss,1,1.0,5.62085,14.0
40,41,0,3,2,1,40.0,1,0,7546,4.7375,S,3.0,1,mrs,2,3.0,4.7375,40.0
41,42,0,2,2,1,27.0,1,0,11668,10.5,S,3.0,1,mrs,2,3.0,10.5,27.0
42,43,0,3,3,0,26.5,0,0,349253,7.8958,C,1.0,0,mr,3,1.0,7.8958,26.5
43,44,1,2,1,1,3.0,1,2,SC/Paris 2123,10.3948,C,1.0,1,miss,1,1.0,10.3948,3.0
44,45,1,3,1,1,19.0,0,0,330958,7.8792,Q,2.0,1,miss,1,2.0,7.8792,19.0
45,46,0,3,3,0,26.5,0,0,S.C./A.4. 23567,8.05,S,3.0,0,mr,3,3.0,8.05,26.5
46,47,0,3,3,0,26.5,1,0,370371,7.75,Q,2.0,0,mr,3,2.0,7.75,26.5
47,48,1,3,1,1,21.8,0,0,14311,7.75,Q,2.0,1,miss,1,2.0,7.75,21.8
48,49,0,3,3,0,26.5,2,0,2662,7.226400000000001,C,1.0,0,mr,3,1.0,7.226400000000001,26.5
49,50,0,3,2,1,18.0,1,0,349237,8.9,S,3.0,1,mrs,2,3.0,8.9,18.0
50,51,0,3,6,0,7.0,4,1,3101295,6.614583333333333,S,3.0,0,master,6,3.0,6.614583333333333,7.0
51,52,0,3,3,0,21.0,0,0,A/4. 39886,7.8,S,3.0,0,mr,3,3.0,7.8,21.0
52,53,1,1,2,1,49.0,1,0,PC 17572,38.3646,D33,1.0,1,mrs,2,1.0,38.3646,49.0
53,54,1,2,2,1,29.0,1,0,2926,13.0,S,3.0,1,mrs,2,3.0,13.0,29.0
54,55,0,1,3,0,65.0,0,1,113509,30.9896,B30,1.0,0,mr,3,1.0,30.9896,65.0
55,56,1,1,3,0,41.3,0,0,19947,35.5,C52,3.0,0,mr,3,3.0,35.5,41.3
56,57,1,2,1,1,21.0,0,0,C.A. 31026,10.5,S,3.0,1,miss,1,3.0,10.5,21.0
57,58,0,3,3,0,28.5,0,0,2697,7.2292,C,1.0,0,mr,3,1.0,7.2292,28.5
58,59,1,2,1,1,5.0,1,2,C.A. 34651,6.9375,S,3.0,1,miss,1,3.0,6.9375,5.0
59,60,0,3,6,0,11.0,5,2,CA 2144,5.8625,S,3.0,0,master,6,3.0,5.8625,11.0
60,61,0,3,3,0,22.0,0,0,2669,7.2292,C,1.0,0,mr,3,1.0,7.2292,22.0
61,62,1,1,1,1,38.0,0,0,113572,80.0,B28,,1,miss,1,,80.0,38.0
62,63,0,1,3,0,45.0,1,0,36973,41.7375,C83,3.0,0,mr,3,3.0,41.7375,45.0
63,64,0,3,6,0,4.0,3,2,347088,4.6499999999999995,S,3.0,0,master,6,3.0,4.6499999999999995,4.0
64,65,0,1,3,0,41.3,0,0,PC 17605,27.7208,C,1.0,0,mr,3,1.0,27.7208,41.3
65,66,1,3,6,0,26.5,1,1,2661,5.081933333333333,C,1.0,0,master,6,1.0,5.081933333333333,26.5
66,67,1,2,2,1,29.0,0,0,C.A. 29395,10.5,F33,3.0,1,mrs,2,3.0,10.5,29.0
67,68,0,3,3,0,19.0,0,0,S.P. 3464,8.1583,S,3.0,0,mr,3,3.0,8.1583,19.0
68,69,1,3,1,1,17.0,4,2,3101281,1.1321428571428571,S,3.0,1,miss,1,3.0,1.1321428571428571,17.0
69,70,0,3,3,0,26.0,2,0,315151,2.8874999999999997,S,3.0,0,mr,3,3.0,2.8874999999999997,26.0
70,71,0,2,3,0,32.0,0,0,C.A. 33111,10.5,S,3.0,0,mr,3,3.0,10.5,32.0
71,72,0,3,1,1,16.0,5,2,CA 2144,5.8625,S,3.0,1,miss,1,3.0,5.8625,16.0
72,73,0,2,3,0,21.0,0,0,S.O.C. 14879,73.5,S,3.0,0,mr,3,3.0,73.5,21.0
73,74,0,3,3,0,26.0,1,0,2680,7.2271,C,1.0,0,mr,3,1.0,7.2271,26.0
74,75,1,3,3,0,32.0,0,0,1601,56.4958,S,3.0,0,mr,3,3.0,56.4958,32.0
75,76,0,3,3,0,25.0,0,0,348123,7.65,F G73,3.0,0,mr,3,3.0,7.65,25.0
76,77,0,3,3,0,26.5,0,0,349208,7.8958,S,3.0,0,mr,3,3.0,7.8958,26.5
77,78,0,3,3,0,26.5,0,0,374746,8.05,S,3.0,0,mr,3,3.0,8.05,26.5
78,79,1,2,6,0,0.83,0,2,248738,9.666666666666666,S,3.0,0,master,6,3.0,9.666666666666666,0.83
79,80,1,3,1,1,30.0,0,0,364516,12.475,S,3.0,1,miss,1,3.0,12.475,30.0
80,81,0,3,3,0,22.0,0,0,345767,9.0,S,3.0,0,mr,3,3.0,9.0,22.0
81,82,1,3,3,0,29.0,0,0,345779,9.5,S,3.0,0,mr,3,3.0,9.5,29.0
82,83,1,3,1,1,21.8,0,0,330932,7.7875,Q,2.0,1,miss,1,2.0,7.7875,21.8
83,84,0,1,3,0,28.0,0,0,113059,47.1,S,3.0,0,mr,3,3.0,47.1,28.0
84,85,1,2,1,1,17.0,0,0,SO/C 14885,10.5,S,3.0,1,miss,1,3.0,10.5,17.0
85,86,1,3,2,1,33.0,3,0,3101278,3.9625,S,3.0,1,mrs,2,3.0,3.9625,33.0
86,87,0,3,3,0,16.0,1,3,W./C. 6608,6.875,S,3.0,0,mr,3,3.0,6.875,16.0
87,88,0,3,3,0,26.5,0,0,SOTON/OQ 392086,8.05,S,3.0,0,mr,3,3.0,8.05,26.5
88,89,1,1,1,1,23.0,3,2,19950,43.833333333333336,C23 C25 C27,3.0,1,miss,1,3.0,43.833333333333336,23.0
89,90,0,3,3,0,24.0,0,0,343275,8.05,S,3.0,0,mr,3,3.0,8.05,24.0
90,91,0,3,3,0,29.0,0,0,343276,8.05,S,3.0,0,mr,3,3.0,8.05,29.0
91,92,0,3,3,0,20.0,0,0,347466,7.8542,S,3.0,0,mr,3,3.0,7.8542,20.0
92,93,0,1,3,0,46.0,1,0,W.E.P. 5734,30.5875,E31,3.0,0,mr,3,3.0,30.5875,46.0
93,94,0,3,3,0,26.0,1,2,C.A. 2315,5.14375,S,3.0,0,mr,3,3.0,5.14375,26.0
94,95,0,3,3,0,59.0,0,0,364500,7.25,S,3.0,0,mr,3,3.0,7.25,59.0
95,96,0,3,3,0,26.5,0,0,374910,8.05,S,3.0,0,mr,3,3.0,8.05,26.5
96,97,0,1,3,0,71.0,0,0,PC 17754,34.6542,A5,1.0,0,mr,3,1.0,34.6542,71.0
97,98,1,1,3,0,23.0,0,1,PC 17759,31.67915,D10 D12,1.0,0,mr,3,1.0,31.67915,23.0
98,99,1,2,2,1,34.0,0,1,231919,11.5,S,3.0,1,mrs,2,3.0,11.5,34.0
99,100,0,2,3,0,34.0,1,0,244367,13.0,S,3.0,0,mr,3,3.0,13.0,34.0
100,101,0,3,1,1,28.0,0,0,349245,7.8958,S,3.0,1,miss,1,3.0,7.8958,28.0
101,102,0,3,3,0,26.5,0,0,349215,7.8958,S,3.0,0,mr,3,3.0,7.8958,26.5
102,103,0,1,3,0,21.0,0,1,35281,38.64375,D26,3.0,0,mr,3,3.0,38.64375,21.0
103,104,0,3,3,0,33.0,0,0,7540,8.6542,S,3.0,0,mr,3,3.0,8.6542,33.0
104,105,0,3,3,0,37.0,2,0,3101276,2.6416666666666666,S,3.0,0,mr,3,3.0,2.6416666666666666,37.0
105,106,0,3,3,0,28.0,0,0,349207,7.8958,S,3.0,0,mr,3,3.0,7.8958,28.0
106,107,1,3,1,1,21.0,0,0,343120,7.65,S,3.0,1,miss,1,3.0,7.65,21.0
107,108,1,3,3,0,26.5,0,0,312991,7.775,S,3.0,0,mr,3,3.0,7.775,26.5
108,109,0,3,3,0,38.0,0,0,349249,7.8958,S,3.0,0,mr,3,3.0,7.8958,38.0
109,110,1,3,1,1,21.8,1,0,371110,12.075,Q,2.0,1,miss,1,2.0,12.075,21.8
110,111,0,1,3,0,47.0,0,0,110465,52.0,C110,3.0,0,mr,3,3.0,52.0,47.0
111,112,0,3,1,1,14.5,1,0,2665,7.2271,C,1.0,1,miss,1,1.0,7.2271,14.5
112,113,0,3,3,0,22.0,0,0,324669,8.05,S,3.0,0,mr,3,3.0,8.05,22.0
113,114,0,3,1,1,20.0,1,0,4136,4.9125,S,3.0,1,miss,1,3.0,4.9125,20.0
114,115,0,3,1,1,17.0,0,0,2627,14.4583,C,1.0,1,miss,1,1.0,14.4583,17.0
115,116,0,3,3,0,21.0,0,0,STON/O 2. 3101294,7.925,S,3.0,0,mr,3,3.0,7.925,21.0
116,117,0,3,3,0,70.5,0,0,370369,7.75,Q,2.0,0,mr,3,2.0,7.75,70.5
117,118,0,2,3,0,29.0,1,0,11668,10.5,S,3.0,0,mr,3,3.0,10.5,29.0
118,119,0,1,3,0,24.0,0,1,PC 17558,123.7604,B58 B60,1.0,0,mr,3,1.0,123.7604,24.0
119,120,0,3,1,1,2.0,4,2,347082,4.4678571428571425,S,3.0,1,miss,1,3.0,4.4678571428571425,2.0
120,121,0,2,3,0,21.0,2,0,S.O.C. 14879,24.5,S,3.0,0,mr,3,3.0,24.5,21.0
121,122,0,3,3,0,26.5,0,0,A4. 54510,8.05,S,3.0,0,mr,3,3.0,8.05,26.5
122,123,0,2,3,0,32.5,1,0,237736,15.0354,C,1.0,0,mr,3,1.0,15.0354,32.5
123,124,1,2,1,1,32.5,0,0,27267,13.0,E101,3.0,1,miss,1,3.0,13.0,32.5
124,125,0,1,3,0,54.0,0,1,35281,38.64375,D26,3.0,0,mr,3,3.0,38.64375,54.0
125,126,1,3,6,0,12.0,1,0,2651,5.62085,C,1.0,0,master,6,1.0,5.62085,12.0
126,127,0,3,3,0,26.5,0,0,370372,7.75,Q,2.0,0,mr,3,2.0,7.75,26.5
127,128,1,3,3,0,24.0,0,0,C 17369,7.1417,S,3.0,0,mr,3,3.0,7.1417,24.0
128,129,1,3,1,1,21.8,1,1,2668,7.452766666666666,F E69,1.0,1,miss,1,1.0,7.452766666666666,21.8
129,130,0,3,3,0,45.0,0,0,347061,6.975,S,3.0,0,mr,3,3.0,6.975,45.0
130,131,0,3,3,0,33.0,0,0,349241,7.8958,C,1.0,0,mr,3,1.0,7.8958,33.0
131,132,0,3,3,0,20.0,0,0,SOTON/O.Q. 3101307,7.05,S,3.0,0,mr,3,3.0,7.05,20.0
132,133,0,3,2,1,47.0,1,0,A/5. 3337,7.25,S,3.0,1,mrs,2,3.0,7.25,47.0
133,134,1,2,2,1,29.0,1,0,228414,13.0,S,3.0,1,mrs,2,3.0,13.0,29.0
134,135,0,2,3,0,25.0,0,0,C.A. 29178,13.0,S,3.0,0,mr,3,3.0,13.0,25.0
135,136,0,2,3,0,23.0,0,0,SC/PARIS 2133,15.0458,C,1.0,0,mr,3,1.0,15.0458,23.0
136,137,1,1,1,1,19.0,0,2,11752,8.7611,D47,3.0,1,miss,1,3.0,8.7611,19.0
137,138,0,1,3,0,37.0,1,0,113803,26.55,C123,3.0,0,mr,3,3.0,26.55,37.0
138,139,0,3,3,0,16.0,0,0,7534,9.2167,S,3.0,0,mr,3,3.0,9.2167,16.0
139,140,0,1,3,0,24.0,0,0,PC 17593,79.2,B86,1.0,0,mr,3,1.0,79.2,24.0
140,141,0,3,2,1,21.8,0,2,2678,5.081933333333333,C,1.0,1,mrs,2,1.0,5.081933333333333,21.8
141,142,1,3,1,1,22.0,0,0,347081,7.75,S,3.0,1,miss,1,3.0,7.75,22.0
142,143,1,3,2,1,24.0,1,0,STON/O2. 3101279,7.925,S,3.0,1,mrs,2,3.0,7.925,24.0
143,144,0,3,3,0,19.0,0,0,365222,6.75,Q,2.0,0,mr,3,2.0,6.75,19.0
144,145,0,2,3,0,18.0,0,0,231945,11.5,S,3.0,0,mr,3,3.0,11.5,18.0
145,146,0,2,3,0,19.0,1,1,C.A. 33112,12.25,S,3.0,0,mr,3,3.0,12.25,19.0
146,147,1,3,3,0,27.0,0,0,350043,7.7958,S,3.0,0,mr,3,3.0,7.7958,27.0
147,148,0,3,1,1,9.0,2,2,W./C. 6608,6.875,S,3.0,1,miss,1,3.0,6.875,9.0
148,149,0,2,3,0,36.5,0,2,230080,8.666666666666666,F2,3.0,0,mr,3,3.0,8.666666666666666,36.5
149,150,0,2,8,0,42.0,0,0,244310,13.0,S,3.0,0,rev,8,3.0,13.0,42.0
150,151,0,2,8,0,51.0,0,0,S.O.P. 1166,12.525,S,3.0,0,rev,8,3.0,12.525,51.0
151,152,1,1,2,1,22.0,1,0,113776,33.3,C2,3.0,1,mrs,2,3.0,33.3,22.0
152,153,0,3,3,0,55.5,0,0,A.5. 11206,8.05,S,3.0,0,mr,3,3.0,8.05,55.5
153,154,0,3,3,0,40.5,0,2,A/5. 851,4.833333333333333,S,3.0,0,mr,3,3.0,4.833333333333333,40.5
154,155,0,3,3,0,26.5,0,0,Fa 265302,7.3125,S,3.0,0,mr,3,3.0,7.3125,26.5
155,156,0,1,3,0,51.0,0,1,PC 17597,30.6896,C,1.0,0,mr,3,1.0,30.6896,51.0
156,157,1,3,1,1,16.0,0,0,35851,7.7333,Q,2.0,1,miss,1,2.0,7.7333,16.0
157,158,0,3,3,0,30.0,0,0,SOTON/OQ 392090,8.05,S,3.0,0,mr,3,3.0,8.05,30.0
158,159,0,3,3,0,26.5,0,0,315037,8.6625,S,3.0,0,mr,3,3.0,8.6625,26.5
159,160,0,3,6,0,26.5,8,2,CA. 2343,6.322727272727272,S,3.0,0,master,6,3.0,6.322727272727272,26.5
160,161,0,3,3,0,44.0,0,1,371362,8.05,S,3.0,0,mr,3,3.0,8.05,44.0
161,162,1,2,2,1,40.0,0,0,C.A. 33595,15.75,S,3.0,1,mrs,2,3.0,15.75,40.0
162,163,0,3,3,0,26.0,0,0,347068,7.775,S,3.0,0,mr,3,3.0,7.775,26.0
163,164,0,3,3,0,17.0,0,0,315093,8.6625,S,3.0,0,mr,3,3.0,8.6625,17.0
164,165,0,3,6,0,1.0,4,1,3101295,6.614583333333333,S,3.0,0,master,6,3.0,6.614583333333333,1.0
165,166,1,3,6,0,9.0,0,2,363291,6.841666666666666,S,3.0,0,master,6,3.0,6.841666666666666,9.0
166,167,1,1,2,1,34.6,0,1,113505,27.5,E33,3.0,1,mrs,2,3.0,27.5,34.6
167,168,0,3,2,1,45.0,1,4,347088,4.6499999999999995,S,3.0,1,mrs,2,3.0,4.6499999999999995,45.0
168,169,0,1,3,0,41.3,0,0,PC 17318,25.925,S,3.0,0,mr,3,3.0,25.925,41.3
169,170,0,3,3,0,28.0,0,0,1601,56.4958,S,3.0,0,mr,3,3.0,56.4958,28.0
170,171,0,1,3,0,61.0,0,0,111240,33.5,B19,3.0,0,mr,3,3.0,33.5,61.0
171,172,0,3,6,0,4.0,4,1,382652,4.854166666666667,Q,2.0,0,master,6,2.0,4.854166666666667,4.0
172,173,1,3,1,1,1.0,1,1,347742,3.7111,S,3.0,1,miss,1,3.0,3.7111,1.0
173,174,0,3,3,0,21.0,0,0,STON/O 2. 3101280,7.925,S,3.0,0,mr,3,3.0,7.925,21.0
174,175,0,1,3,0,56.0,0,0,17764,30.6958,A7,1.0,0,mr,3,1.0,30.6958,56.0
175,176,0,3,3,0,18.0,1,1,350404,2.6180666666666665,S,3.0,0,mr,3,3.0,2.6180666666666665,18.0
176,177,0,3,6,0,26.5,3,1,4133,5.0933399999999995,S,3.0,0,master,6,3.0,5.0933399999999995,26.5
177,178,0,1,1,1,50.0,0,0,PC 17595,28.7125,C49,1.0,1,miss,1,1.0,28.7125,50.0
178,179,0,2,3,0,30.0,0,0,250653,13.0,S,3.0,0,mr,3,3.0,13.0,30.0
179,180,0,3,3,0,36.0,0,0,LINE,0.0,S,3.0,0,mr,3,3.0,0.0,36.0
180,181,0,3,1,1,21.8,8,2,CA. 2343,6.322727272727272,S,3.0,1,miss,1,3.0,6.322727272727272,21.8
181,182,0,2,3,0,30.7,0,0,SC/PARIS 2131,15.05,C,1.0,0,mr,3,1.0,15.05,30.7
182,183,0,3,6,0,9.0,4,2,347077,4.483928571428572,S,3.0,0,master,6,3.0,4.483928571428572,9.0
183,184,1,2,6,0,1.0,2,1,230136,9.75,F4,3.0,0,master,6,3.0,9.75,1.0
184,185,1,3,1,1,4.0,0,2,315153,7.341666666666666,S,3.0,1,miss,1,3.0,7.341666666666666,4.0
185,186,0,1,3,0,41.3,0,0,113767,50.0,A32,3.0,0,mr,3,3.0,50.0,41.3
186,187,1,3,2,1,21.8,1,0,370365,7.75,Q,2.0,1,mrs,2,2.0,7.75,21.8
187,188,1,1,3,0,45.0,0,0,111428,26.55,S,3.0,0,mr,3,3.0,26.55,45.0
188,189,0,3,3,0,40.0,1,1,364849,5.166666666666667,Q,2.0,0,mr,3,2.0,5.166666666666667,40.0
189,190,0,3,3,0,36.0,0,0,349247,7.8958,S,3.0,0,mr,3,3.0,7.8958,36.0
190,191,1,2,2,1,32.0,0,0,234604,13.0,S,3.0,1,mrs,2,3.0,13.0,32.0
191,192,0,2,3,0,19.0,0,0,28424,13.0,S,3.0,0,mr,3,3.0,13.0,19.0
192,193,1,3,1,1,19.0,1,0,350046,3.9271,S,3.0,1,miss,1,3.0,3.9271,19.0
193,194,1,2,6,0,3.0,1,1,230080,8.666666666666666,F2,3.0,0,master,6,3.0,8.666666666666666,3.0
194,195,1,1,2,1,44.0,0,0,PC 17610,27.7208,B4,1.0,1,mrs,2,1.0,27.7208,44.0
195,196,1,1,1,1,58.0,0,0,PC 17569,146.5208,B80,1.0,1,miss,1,1.0,146.5208,58.0
196,197,0,3,3,0,26.5,0,0,368703,7.75,Q,2.0,0,mr,3,2.0,7.75,26.5
197,198,0,3,3,0,42.0,0,1,4579,4.2021,S,3.0,0,mr,3,3.0,4.2021,42.0
198,199,1,3,1,1,21.8,0,0,370370,7.75,Q,2.0,1,miss,1,2.0,7.75,21.8
199,200,0,2,1,1,24.0,0,0,248747,13.0,S,3.0,1,miss,1,3.0,13.0,24.0
200,201,0,3,3,0,28.0,0,0,345770,9.5,S,3.0,0,mr,3,3.0,9.5,28.0
201,202,0,3,3,0,26.5,8,2,CA. 2343,6.322727272727272,S,3.0,0,mr,3,3.0,6.322727272727272,26.5
202,203,0,3,3,0,34.0,0,0,3101264,6.4958,S,3.0,0,mr,3,3.0,6.4958,34.0
203,204,0,3,3,0,45.5,0,0,2628,7.225,C,1.0,0,mr,3,1.0,7.225,45.5
204,205,1,3,3,0,18.0,0,0,A/5 3540,8.05,S,3.0,0,mr,3,3.0,8.05,18.0
205,206,0,3,1,1,2.0,0,1,347054,5.23125,G6,3.0,1,miss,1,3.0,5.23125,2.0
206,207,0,3,3,0,32.0,1,0,3101278,7.925,S,3.0,0,mr,3,3.0,7.925,32.0
207,208,1,3,3,0,26.0,0,0,2699,18.7875,C,1.0,0,mr,3,1.0,18.7875,26.0
208,209,1,3,1,1,16.0,0,0,367231,7.75,Q,2.0,1,miss,1,2.0,7.75,16.0
209,210,1,1,3,0,40.0,0,0,112277,31.0,A31,1.0,0,mr,3,1.0,31.0,40.0
210,211,0,3,3,0,24.0,0,0,SOTON/O.Q. 3101311,7.05,S,3.0,0,mr,3,3.0,7.05,24.0
211,212,1,2,1,1,35.0,0,0,F.C.C. 13528,21.0,S,3.0,1,miss,1,3.0,21.0,35.0
212,213,0,3,3,0,22.0,0,0,A/5 21174,7.25,S,3.0,0,mr,3,3.0,7.25,22.0
213,214,0,2,3,0,30.0,0,0,250646,13.0,S,3.0,0,mr,3,3.0,13.0,30.0
214,215,0,3,3,0,26.5,1,0,367229,3.875,Q,2.0,0,mr,3,2.0,3.875,26.5
215,216,1,1,1,1,31.0,1,0,35273,56.6375,D36,1.0,1,miss,1,1.0,56.6375,31.0
216,217,1,3,1,1,27.0,0,0,STON/O2. 3101283,7.925,S,3.0,1,miss,1,3.0,7.925,27.0
217,218,0,2,3,0,42.0,1,0,243847,13.5,S,3.0,0,mr,3,3.0,13.5,42.0
218,219,1,1,1,1,32.0,0,0,11813,76.2917,D15,1.0,1,miss,1,1.0,76.2917,32.0
219,220,0,2,3,0,30.0,0,0,W/C 14208,10.5,S,3.0,0,mr,3,3.0,10.5,30.0
220,221,1,3,3,0,16.0,0,0,SOTON/OQ 392089,8.05,S,3.0,0,mr,3,3.0,8.05,16.0
221,222,0,2,3,0,27.0,0,0,220367,13.0,S,3.0,0,mr,3,3.0,13.0,27.0
222,223,0,3,3,0,51.0,0,0,21440,8.05,S,3.0,0,mr,3,3.0,8.05,51.0
223,224,0,3,3,0,26.5,0,0,349234,7.8958,S,3.0,0,mr,3,3.0,7.8958,26.5
224,225,1,1,3,0,38.0,1,0,19943,45.0,C93,3.0,0,mr,3,3.0,45.0,38.0
225,226,0,3,3,0,22.0,0,0,PP 4348,9.35,S,3.0,0,mr,3,3.0,9.35,22.0
226,227,1,2,3,0,19.0,0,0,SW/PP 751,10.5,S,3.0,0,mr,3,3.0,10.5,19.0
227,228,0,3,3,0,20.5,0,0,A/5 21173,7.25,S,3.0,0,mr,3,3.0,7.25,20.5
228,229,0,2,3,0,18.0,0,0,236171,13.0,S,3.0,0,mr,3,3.0,13.0,18.0
229,230,0,3,1,1,21.8,3,1,4133,5.0933399999999995,S,3.0,1,miss,1,3.0,5.0933399999999995,21.8
230,231,1,1,2,1,35.0,1,0,36973,41.7375,C83,3.0,1,mrs,2,3.0,41.7375,35.0
231,232,0,3,3,0,29.0,0,0,347067,7.775,S,3.0,0,mr,3,3.0,7.775,29.0
232,233,0,2,3,0,59.0,0,0,237442,13.5,S,3.0,0,mr,3,3.0,13.5,59.0
233,234,1,3,1,1,5.0,4,2,347077,4.483928571428572,S,3.0,1,miss,1,3.0,4.483928571428572,5.0
234,235,0,2,3,0,24.0,0,0,C.A. 29566,10.5,S,3.0,0,mr,3,3.0,10.5,24.0
235,236,0,3,1,1,21.8,0,0,W./C. 6609,7.55,S,3.0,1,miss,1,3.0,7.55,21.8
236,237,0,2,3,0,44.0,1,0,26707,13.0,S,3.0,0,mr,3,3.0,13.0,44.0
237,238,1,2,1,1,8.0,0,2,C.A. 31921,8.75,S,3.0,1,miss,1,3.0,8.75,8.0
238,239,0,2,3,0,19.0,0,0,28665,10.5,S,3.0,0,mr,3,3.0,10.5,19.0
239,240,0,2,3,0,33.0,0,0,SCO/W 1585,12.275,S,3.0,0,mr,3,3.0,12.275,33.0
240,241,0,3,1,1,21.8,1,0,2665,7.2271,C,1.0,1,miss,1,1.0,7.2271,21.8
241,242,1,3,1,1,21.8,1,0,367230,7.75,Q,2.0,1,miss,1,2.0,7.75,21.8
242,243,0,2,3,0,29.0,0,0,W./C. 14263,10.5,S,3.0,0,mr,3,3.0,10.5,29.0
243,244,0,3,3,0,22.0,0,0,STON/O 2. 3101275,7.125,S,3.0,0,mr,3,3.0,7.125,22.0
244,245,0,3,3,0,30.0,0,0,2694,7.225,C,1.0,0,mr,3,1.0,7.225,30.0
245,246,0,1,7,0,44.0,2,0,19928,30.0,C78,2.0,0,dr,7,2.0,30.0,44.0
246,247,0,3,1,1,25.0,0,0,347071,7.775,S,3.0,1,miss,1,3.0,7.775,25.0
