,PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,title
48,49,0,3,3,0,26.5,2,0,2662,2.4088000000000003,1.0,1.0,mr
49,50,0,3,2,1,18.0,1,0,349237,4.45,3.0,3.0,mrs
50,51,0,3,6,0,7.0,4,1,3101295,1.1024305555555556,3.0,3.0,master
51,52,0,3,3,0,21.0,0,0,A/4. 39886,7.8,3.0,3.0,mr
52,53,1,1,2,1,49.0,1,0,PC 17572,19.1823,D33,1.0,mrs
53,54,1,2,2,1,29.0,1,0,2926,6.5,3.0,3.0,mrs
54,55,0,1,3,0,65.0,0,1,113509,15.4948,B30,1.0,mr
55,56,1,1,3,0,41.3,0,0,19947,35.5,C52,3.0,mr
56,57,1,2,1,1,21.0,0,0,C.A. 31026,10.5,3.0,3.0,miss
57,58,0,3,3,0,28.5,0,0,2697,7.2292,1.0,1.0,mr
58,59,1,2,1,1,5.0,1,2,C.A. 34651,1.734375,3.0,3.0,miss
59,60,0,3,6,0,11.0,5,2,CA 2144,0.7328125,3.0,3.0,master
60,61,0,3,3,0,22.0,0,0,2669,7.2292,1.0,1.0,mr
61,62,1,1,1,1,38.0,0,0,113572,80.0,B28,3.0,miss
62,63,0,1,3,0,45.0,1,0,36973,20.86875,C83,3.0,mr
63,64,0,3,6,0,4.0,3,2,347088,0.7749999999999999,3.0,3.0,master
64,65,0,1,3,0,41.3,0,0,PC 17605,27.7208,1.0,1.0,mr
65,66,1,3,6,0,26.5,1,1,2661,1.6939777777777776,1.0,1.0,master
66,67,1,2,2,1,29.0,0,0,C.A. 29395,10.5,F33,3.0,mrs
67,68,0,3,3,0,19.0,0,0,S.P. 3464,8.1583,3.0,3.0,mr
68,69,1,3,1,1,17.0,4,2,3101281,0.16173469387755102,3.0,3.0,miss
69,70,0,3,3,0,26.0,2,0,315151,0.9624999999999999,3.0,3.0,mr
70,71,0,2,3,0,32.0,0,0,C.A. 33111,10.5,3.0,3.0,mr
71,72,0,3,1,1,16.0,5,2,CA 2144,0.7328125,3.0,3.0,miss
72,73,0,2,3,0,21.0,0,0,S.O.C. 14879,73.5,3.0,3.0,mr
73,74,0,3,3,0,26.0,1,0,2680,3.61355,1.0,1.0,mr
74,75,1,3,3,0,32.0,0,0,1601,56.4958,3.0,3.0,mr
75,76,0,3,3,0,25.0,0,0,348123,7.65,F G73,3.0,mr
76,77,0,3,3,0,26.5,0,0,349208,7.8958,3.0,3.0,mr
77,78,0,3,3,0,26.5,0,0,374746,8.05,3.0,3.0,mr
78,79,1,2,6,0,0.83,0,2,248738,3.222222222222222,3.0,3.0,master
79,80,1,3,1,1,30.0,0,0,364516,12.475,3.0,3.0,miss
80,81,0,3,3,0,22.0,0,0,345767,9.0,3.0,3.0,mr
81,82,1,3,3,0,29.0,0,0,345779,9.5,3.0,3.0,mr
82,83,1,3,1,1,21.8,0,0,330932,7.7875,2.0,2.0,miss
83,84,0,1,3,0,28.0,0,0,113059,47.1,3.0,3.0,mr
84,85,1,2,1,1,17.0,0,0,SO/C 14885,10.5,3.0,3.0,miss
85,86,1,3,2,1,33.0,3,0,3101278,0.990625,3.0,3.0,mrs
86,87,0,3,3,0,16.0,1,3,W./C. 6608,1.375,3.0,3.0,mr
87,88,0,3,3,0,26.5,0,0,SOTON/OQ 392086,8.05,3.0,3.0,mr
88,89,1,1,1,1,23.0,3,2,19950,7.305555555555556,C23 C25 C27,3.0,miss
89,90,0,3,3,0,24.0,0,0,343275,8.05,3.0,3.0,mr
90,91,0,3,3,0,29.0,0,0,343276,8.05,3.0,3.0,mr
91,92,0,3,3,0,20.0,0,0,347466,7.8542,3.0,3.0,mr
92,93,0,1,3,0,46.0,1,0,W.E.P. 5734,15.29375,E31,3.0,mr
93,94,0,3,3,0,26.0,1,2,C.A. 2315,1.2859375,3.0,3.0,mr
94,95,0,3,3,0,59.0,0,0,364500,7.25,3.0,3.0,mr
95,96,0,3,3,0,26.5,0,0,374910,8.05,3.0,3.0,mr
96,97,0,1,3,0,71.0,0,0,PC 17754,34.6542,A5,1.0,mr
97,98,1,1,3,0,23.0,0,1,PC 17759,15.839575,D10 D12,1.0,mr
98,99,1,2,2,1,34.0,0,1,231919,5.75,3.0,3.0,mrs
99,100,0,2,3,0,34.0,1,0,244367,6.5,3.0,3.0,mr
100,101,0,3,1,1,28.0,0,0,349245,7.8958,3.0,3.0,miss
101,102,0,3,3,0,26.5,0,0,349215,7.8958,3.0,3.0,mr
102,103,0,1,3,0,21.0,0,1,35281,19.321875,D26,3.0,mr
103,104,0,3,3,0,33.0,0,0,7540,8.6542,3.0,3.0,mr
104,105,0,3,3,0,37.0,2,0,3101276,0.8805555555555555,3.0,3.0,mr
105,106,0,3,3,0,28.0,0,0,349207,7.8958,3.0,3.0,mr
106,107,1,3,1,1,21.0,0,0,343120,7.65,3.0,3.0,miss
107,108,1,3,3,0,26.5,0,0,312991,7.775,3.0,3.0,mr
108,109,0,3,3,0,38.0,0,0,349249,7.8958,3.0,3.0,mr
109,110,1,3,1,1,21.8,1,0,371110,6.0375,2.0,2.0,miss
110,111,0,1,3,0,47.0,0,0,110465,52.0,C110,3.0,mr
111,112,0,3,1,1,14.5,1,0,2665,3.61355,1.0,1.0,miss
112,113,0,3,3,0,22.0,0,0,324669,8.05,3.0,3.0,mr
113,114,0,3,1,1,20.0,1,0,4136,2.45625,3.0,3.0,miss
114,115,0,3,1,1,17.0,0,0,2627,14.4583,1.0,1.0,miss
115,116,0,3,3,0,21.0,0,0,STON/O 2. 3101294,7.925,3.0,3.0,mr
116,117,0,3,3,0,70.5,0,0,370369,7.75,2.0,2.0,mr
117,118,0,2,3,0,29.0,1,0,11668,5.25,3.0,3.0,mr
118,119,0,1,3,0,24.0,0,1,PC 17558,61.8802,B58 B60,1.0,mr
119,120,0,3,1,1,2.0,4,2,347082,0.6382653061224489,3.0,3.0,miss
120,121,0,2,3,0,21.0,2,0,S.O.C. 14879,8.166666666666666,3.0,3.0,mr
121,122,0,3,3,0,26.5,0,0,A4. 54510,8.05,3.0,3.0,mr
122,123,0,2,3,0,32.5,1,0,237736,7.5177,1.0,1.0,mr
123,124,1,2,1,1,32.5,0,0,27267,13.0,E101,3.0,miss
124,125,0,1,3,0,54.0,0,1,35281,19.321875,D26,3.0,mr
125,126,1,3,6,0,12.0,1,0,2651,2.810425,1.0,1.0,master
126,127,0,3,3,0,26.5,0,0,370372,7.75,2.0,2.0,mr
127,128,1,3,3,0,24.0,0,0,C 17369,7.1417,3.0,3.0,mr
128,129,1,3,1,1,21.8,1,1,2668,2.4842555555555554,F E69,1.0,miss
129,130,0,3,3,0,45.0,0,0,347061,6.975,3.0,3.0,mr
130,131,0,3,3,0,33.0,0,0,349241,7.8958,1.0,1.0,mr
131,132,0,3,3,0,20.0,0,0,SOTON/O.Q. 3101307,7.05,3.0,3.0,mr
132,133,0,3,2,1,47.0,1,0,A/5. 3337,3.625,3.0,3.0,mrs
133,134,1,2,2,1,29.0,1,0,228414,6.5,3.0,3.0,mrs
134,135,0,2,3,0,25.0,0,0,C.A. 29178,13.0,3.0,3.0,mr
135,136,0,2,3,0,23.0,0,0,SC/PARIS 2133,15.0458,1.0,1.0,mr
136,137,1,1,1,1,19.0,0,2,11752,2.9203666666666668,D47,3.0,miss
137,138,0,1,3,0,37.0,1,0,113803,13.275,C123,3.0,mr
138,139,0,3,3,0,16.0,0,0,7534,9.2167,3.0,3.0,mr
139,140,0,1,3,0,24.0,0,0,PC 17593,79.2,B86,1.0,mr
140,141,0,3,2,1,21.8,0,2,2678,1.6939777777777776,1.0,1.0,mrs
141,142,1,3,1,1,22.0,0,0,347081,7.75,3.0,3.0,miss
142,143,1,3,2,1,24.0,1,0,STON/O2. 3101279,3.9625,3.0,3.0,mrs
143,144,0,3,3,0,19.0,0,0,365222,6.75,2.0,2.0,mr
144,145,0,2,3,0,18.0,0,0,231945,11.5,3.0,3.0,mr
145,146,0,2,3,0,19.0,1,1,C.A. 33112,4.083333333333333,3.0,3.0,mr
146,147,1,3,3,0,27.0,0,0,350043,7.7958,3.0,3.0,mr
147,148,0,3,1,1,9.0,2,2,W./C. 6608,1.375,3.0,3.0,miss
148,149,0,2,3,0,36.5,0,2,230080,2.888888888888889,F2,3.0,mr
149,150,0,2,8,0,42.0,0,0,244310,13.0,3.0,3.0,rev
150,151,0,2,8,0,51.0,0,0,S.O.P. 1166,12.525,3.0,3.0,rev
151,152,1,1,2,1,22.0,1,0,113776,16.65,C2,3.0,mrs
152,153,0,3,3,0,55.5,0,0,A.5. 11206,8.05,3.0,3.0,mr
153,154,0,3,3,0,40.5,0,2,A/5. 851,1.611111111111111,3.0,3.0,mr
154,155,0,3,3,0,26.5,0,0,Fa 265302,7.3125,3.0,3.0,mr
155,156,0,1,3,0,51.0,0,1,PC 17597,15.3448,1.0,1.0,mr
156,157,1,3,1,1,16.0,0,0,35851,7.7333,2.0,2.0,miss
157,158,0,3,3,0,30.0,0,0,SOTON/OQ 392090,8.05,3.0,3.0,mr
158,159,0,3,3,0,26.5,0,0,315037,8.6625,3.0,3.0,mr
159,160,0,3,6,0,26.5,8,2,CA. 2343,0.574793388429752,3.0,3.0,master
160,161,0,3,3,0,44.0,0,1,371362,4.025,3.0,3.0,mr
161,162,1,2,2,1,40.0,0,0,C.A. 33595,15.75,3.0,3.0,mrs
162,163,0,3,3,0,26.0,0,0,347068,7.775,3.0,3.0,mr
163,164,0,3,3,0,17.0,0,0,315093,8.6625,3.0,3.0,mr
164,165,0,3,6,0,1.0,4,1,3101295,1.1024305555555556,3.0,3.0,master
165,166,1,3,6,0,9.0,0,2,363291,2.2805555555555554,3.0,3.0,master
166,167,1,1,2,1,34.6,0,1,113505,13.75,E33,3.0,mrs
167,168,0,3,2,1,45.0,1,4,347088,0.7749999999999999,3.0,3.0,mrs
168,169,0,1,3,0,41.3,0,0,PC 17318,25.925,3.0,3.0,mr
169,170,0,3,3,0,28.0,0,0,1601,56.4958,3.0,3.0,mr
170,171,0,1,3,0,61.0,0,0,111240,33.5,B19,3.0,mr
171,172,0,3,6,0,4.0,4,1,382652,0.8090277777777778,2.0,2.0,master
172,173,1,3,1,1,1.0,1,1,347742,1.2370333333333334,3.0,3.0,miss
173,174,0,3,3,0,21.0,0,0,STON/O 2. 3101280,7.925,3.0,3.0,mr
174,175,0,1,3,0,56.0,0,0,17764,30.6958,A7,1.0,mr
175,176,0,3,3,0,18.0,1,1,350404,0.8726888888888888,3.0,3.0,mr
176,177,0,3,6,0,26.5,3,1,4133,1.018668,3.0,3.0,master
177,178,0,1,1,1,50.0,0,0,PC 17595,28.7125,C49,1.0,miss
178,179,0,2,3,0,30.0,0,0,250653,13.0,3.0,3.0,mr
179,180,0,3,3,0,36.0,0,0,LINE,0.0,3.0,3.0,mr
180,181,0,3,1,1,21.8,8,2,CA. 2343,0.574793388429752,3.0,3.0,miss
181,182,0,2,3,0,30.7,0,0,SC/PARIS 2131,15.05,1.0,1.0,mr
182,183,0,3,6,0,9.0,4,2,347077,0.6405612244897959,3.0,3.0,master
183,184,1,2,6,0,1.0,2,1,230136,2.4375,F4,3.0,master
184,185,1,3,1,1,4.0,0,2,315153,2.447222222222222,3.0,3.0,miss
185,186,0,1,3,0,41.3,0,0,113767,50.0,A32,3.0,mr
186,187,1,3,2,1,21.8,1,0,370365,3.875,2.0,2.0,mrs
187,188,1,1,3,0,45.0,0,0,111428,26.55,3.0,3.0,mr
188,189,0,3,3,0,40.0,1,1,364849,1.7222222222222223,2.0,2.0,mr
189,190,0,3,3,0,36.0,0,0,349247,7.8958,3.0,3.0,mr
190,191,1,2,2,1,32.0,0,0,234604,13.0,3.0,3.0,mrs
191,192,0,2,3,0,19.0,0,0,28424,13.0,3.0,3.0,mr
192,193,1,3,1,1,19.0,1,0,350046,1.96355,3.0,3.0,miss
193,194,1,2,6,0,3.0,1,1,230080,2.888888888888889,F2,3.0,master
194,195,1,1,2,1,44.0,0,0,PC 17610,27.7208,B4,1.0,mrs
195,196,1,1,1,1,58.0,0,0,PC 17569,146.5208,B80,1.0,miss
196,197,0,3,3,0,26.5,0,0,368703,7.75,2.0,2.0,mr
197,198,0,3,3,0,42.0,0,1,4579,2.10105,3.0,3.0,mr
198,199,1,3,1,1,21.8,0,0,370370,7.75,2.0,2.0,miss
199,200,0,2,1,1,24.0,0,0,248747,13.0,3.0,3.0,miss
200,201,0,3,3,0,28.0,0,0,345770,9.5,3.0,3.0,mr
201,202,0,3,3,0,26.5,8,2,CA. 2343,0.574793388429752,3.0,3.0,mr
202,203,0,3,3,0,34.0,0,0,3101264,6.4958,3.0,3.0,mr
203,204,0,3,3,0,45.5,0,0,2628,7.225,1.0,1.0,mr
204,205,1,3,3,0,18.0,0,0,A/5 3540,8.05,3.0,3.0,mr
205,206,0,3,1,1,2.0,0,1,347054,2.615625,G6,3.0,miss
206,207,0,3,3,0,32.0,1,0,3101278,3.9625,3.0,3.0,mr
207,208,1,3,3,0,26.0,0,0,2699,18.7875,1.0,1.0,mr
208,209,1,3,1,1,16.0,0,0,367231,7.75,2.0,2.0,miss
209,210,1,1,3,0,40.0,0,0,112277,31.0,A31,1.0,mr
210,211,0,3,3,0,24.0,0,0,SOTON/O.Q. 3101311,7.05,3.0,3.0,mr
211,212,1,2,1,1,35.0,0,0,F.C.C. 13528,21.0,3.0,3.0,miss
212,213,0,3,3,0,22.0,0,0,A/5 21174,7.25,3.0,3.0,mr
213,214,0,2,3,0,30.0,0,0,250646,13.0,3.0,3.0,mr
214,215,0,3,3,0,26.5,1,0,367229,1.9375,2.0,2.0,mr
215,216,1,1,1,1,31.0,1,0,35273,28.31875,D36,1.0,miss
216,217,1,3,1,1,27.0,0,0,STON/O2. 3101283,7.925,3.0,3.0,miss
217,218,0,2,3,0,42.0,1,0,243847,6.75,3.0,3.0,mr
218,219,1,1,1,1,32.0,0,0,11813,76.2917,D15,1.0,miss
219,220,0,2,3,0,30.0,0,0,W/C 14208,10.5,3.0,3.0,mr
220,221,1,3,3,0,16.0,0,0,SOTON/OQ 392089,8.05,3.0,3.0,mr
221,222,0,2,3,0,27.0,0,0,220367,13.0,3.0,3.0,mr
222,223,0,3,3,0,51.0,0,0,21440,8.05,3.0,3.0,mr
223,224,0,3,3,0,26.5,0,0,349234,7.8958,3.0,3.0,mr
224,225,1,1,3,0,38.0,1,0,19943,22.5,C93,3.0,mr
225,226,0,3,3,0,22.0,0,0,PP 4348,9.35,3.0,3.0,mr
226,227,1,2,3,0,19.0,0,0,SW/PP 751,10.5,3.0,3.0,mr
227,228,0,3,3,0,20.5,0,0,A/5 21173,7.25,3.0,3.0,mr
228,229,0,2,3,0,18.0,0,0,236171,13.0,3.0,3.0,mr
229,230,0,3,1,1,21.8,3,1,4133,1.018668,3.0,3.0,miss
230,231,1,1,2,1,35.0,1,0,36973,20.86875,C83,3.0,mrs
231,232,0,3,3,0,29.0,0,0,347067,7.775,3.0,3.0,mr
232,233,0,2,3,0,59.0,0,0,237442,13.5,3.0,3.0,mr
233,234,1,3,1,1,5.0,4,2,347077,0.6405612244897959,3.0,3.0,miss
234,235,0,2,3,0,24.0,0,0,C.A. 29566,10.5,3.0,3.0,mr
235,236,0,3,1,1,21.8,0,0,W./C. 6609,7.55,3.0,3.0,miss
236,237,0,2,3,0,44.0,1,0,26707,6.5,3.0,3.0,mr
237,238,1,2,1,1,8.0,0,2,C.A. 31921,2.9166666666666665,3.0,3.0,miss
238,239,0,2,3,0,19.0,0,0,28665,10.5,3.0,3.0,mr
239,240,0,2,3,0,33.0,0,0,SCO/W 1585,12.275,3.0,3.0,mr
240,241,0,3,1,1,21.8,1,0,2665,3.61355,1.0,1.0,miss
241,242,1,3,1,1,21.8,1,0,367230,3.875,2.0,2.0,miss
242,243,0,2,3,0,29.0,0,0,W./C. 14263,10.5,3.0,3.0,mr
243,244,0,3,3,0,22.0,0,0,STON/O 2. 3101275,7.125,3.0,3.0,mr
244,245,0,3,3,0,30.0,0,0,2694,7.225,1.0,1.0,mr
245,246,0,1,7,0,44.0,2,0,19928,10.0,C78,2.0,dr
246,247,0,3,1,1,25.0,0,0,347071,7.775,3.0,3.0,miss
247,248,1,2,2,1,24.0,0,2,250649,1.611111111111111,3.0,3.0,mrs
248,249,1,1,3,0,37.0,1,1,11751,5.839355555555556,D35,3.0,mr
249,250,0,2,8,0,54.0,1,0,244252,6.5,3.0,3.0,rev
250,251,0,3,3,0,26.5,0,0,362316,7.25,3.0,3.0,mr
251,252,0,3,2,1,29.0,1,1,347054,1.1625,G6,3.0,mrs
252,253,0,1,3,0,62.0,0,0,113514,26.55,C87,3.0,mr
253,254,0,3,3,0,30.0,1,0,A/5. 3336,4.025,3.0,3.0,mr
254,255,0,3,2,1,41.0,0,2,370129,2.245833333333333,3.0,3.0,mrs
255,256,1,3,2,1,29.0,0,2,2650,1.6939777777777776,1.0,1.0,mrs
256,257,1,1,2,1,34.6,0,0,PC 17585,79.2,1.0,1.0,mrs
257,258,1,1,1,1,30.0,0,0,110152,86.5,B77,3.0,miss
258,259,1,1,1,1,35.0,0,0,PC 17755,512.3292,1.0,1.0,miss
259,260,1,2,2,1,50.0,0,1,230433,6.5,3.0,3.0,mrs
260,261,0,3,3,0,26.5,0,0,384461,7.75,2.0,2.0,mr
261,262,1,3,6,0,3.0,4,2,347077,0.6405612244897959,3.0,3.0,master
262,263,0,1,3,0,52.0,1,1,110413,8.85,E67,3.0,mr
263,264,0,1,3,0,40.0,0,0,112059,0.0,B94,3.0,mr
264,265,0,3,1,1,21.8,0,0,382649,7.75,2.0,2.0,miss
265,266,0,2,3,0,36.0,0,0,C.A. 17248,10.5,3.0,3.0,mr
266,267,0,3,3,0,16.0,4,1,3101295,1.1024305555555556,3.0,3.0,mr
267,268,1,3,3,0,25.0,1,0,347083,1.94375,3.0,3.0,mr
268,269,1,1,2,1,58.0,0,1,PC 17582,38.365625,C125,3.0,mrs
269,270,1,1,1,1,35.0,0,0,PC 17760,135.6333,C99,3.0,miss
270,271,0,1,3,0,41.3,0,0,113798,31.0,3.0,3.0,mr
271,272,1,3,3,0,25.0,0,0,LINE,0.0,3.0,3.0,mr
272,273,1,2,2,1,41.0,0,1,250644,4.875,3.0,3.0,mrs
273,274,0,1,3,0,37.0,0,1,PC 17596,7.425,C118,1.0,mr
274,275,1,3,1,1,21.8,0,0,370375,7.75,2.0,2.0,miss
275,276,1,1,1,1,63.0,1,0,13502,19.489575,D7,3.0,miss
276,277,0,3,1,1,45.0,0,0,347073,7.75,3.0,3.0,miss
277,278,0,2,3,0,30.7,0,0,239853,0.0,3.0,3.0,mr
278,279,0,3,6,0,7.0,4,1,382652,0.8090277777777778,2.0,2.0,master
279,280,1,3,2,1,35.0,1,1,C.A. 2673,2.25,3.0,3.0,mrs
280,281,0,3,3,0,65.0,0,0,336439,7.75,2.0,2.0,mr
281,282,0,3,3,0,28.0,0,0,347464,7.8542,3.0,3.0,mr
282,283,0,3,3,0,16.0,0,0,345778,9.5,3.0,3.0,mr
283,284,1,3,3,0,19.0,0,0,A/5. 10482,8.05,3.0,3.0,mr
284,285,0,1,3,0,41.3,0,0,113056,26.0,A19,3.0,mr
285,286,0,3,3,0,33.0,0,0,349239,8.6625,1.0,1.0,mr
286,287,1,3,3,0,30.0,0,0,345774,9.5,3.0,3.0,mr
287,288,0,3,3,0,22.0,0,0,349206,7.8958,3.0,3.0,mr
288,289,1,2,3,0,42.0,0,0,237798,13.0,3.0,3.0,mr
289,290,1,3,1,1,22.0,0,0,370373,7.75,2.0,2.0,miss
290,291,1,1,1,1,26.0,0,0,19877,78.85,3.0,3.0,miss
291,292,1,1,2,1,19.0,1,0,11967,22.7698,B49,1.0,mrs
292,293,0,2,3,0,36.0,0,0,SC/Paris 2163,12.875,D,1.0,mr
293,294,0,3,1,1,24.0,0,0,349236,8.85,3.0,3.0,miss
294,295,0,3,3,0,24.0,0,0,349233,7.8958,3.0,3.0,mr
295,296,0,1,3,0,41.3,0,0,PC 17612,27.7208,1.0,1.0,mr
296,297,0,3,3,0,23.5,0,0,2693,7.2292,1.0,1.0,mr
297,298,0,1,1,1,2.0,1,2,113781,9.471875,C22 C26,3.0,miss
298,299,1,1,3,0,41.3,0,0,19988,30.5,C106,3.0,mr
299,300,1,1,2,1,50.0,0,1,PC 17558,61.8802,B58 B60,1.0,mrs
300,301,1,3,1,1,21.8,0,0,9234,7.75,2.0,2.0,miss
301,302,1,3,3,0,26.5,2,0,367226,2.5833333333333335,2.0,2.0,mr
302,303,0,3,3,0,19.0,0,0,LINE,0.0,3.0,3.0,mr
303,304,1,2,1,1,28.7,0,0,226593,12.35,E101,2.0,miss
304,305,0,3,3,0,26.5,0,0,A/5 2466,8.05,3.0,3.0,mr
305,306,1,1,6,0,0.92,1,2,113781,9.471875,C22 C26,3.0,master
306,307,1,1,1,1,34.6,0,0,17421,110.8833,1.0,1.0,miss
307,308,1,1,2,1,17.0,1,0,PC 17758,27.225,C65,1.0,mrs
308,309,0,2,3,0,30.0,1,0,P/PP 3381,6.0,1.0,1.0,mr
309,310,1,1,1,1,30.0,0,0,PC 17485,56.9292,E36,1.0,miss
310,311,1,1,1,1,24.0,0,0,11767,83.1583,C54,1.0,miss
311,312,1,1,1,1,18.0,2,2,PC 17608,10.495000000000001,B57 B59 B63 B66,1.0,miss
312,313,0,2,2,1,26.0,1,1,250651,2.888888888888889,3.0,3.0,mrs
313,314,0,3,3,0,28.0,0,0,349243,7.8958,3.0,3.0,mr
314,315,0,2,3,0,43.0,1,1,F.C.C. 13529,2.9166666666666665,3.0,3.0,mr
315,316,1,3,1,1,26.0,0,0,347470,7.8542,3.0,3.0,miss
316,317,1,2,2,1,24.0,1,0,244367,6.5,3.0,3.0,mrs
317,318,0,2,7,0,54.0,0,0,29011,14.0,3.0,3.0,dr
318,319,1,1,1,1,31.0,0,2,36928,18.318522222222224,C7,3.0,miss
319,320,1,1,2,1,40.0,1,1,16966,14.944444444444445,E34,1.0,mrs
320,321,0,3,3,0,22.0,0,0,A/5 21172,7.25,3.0,3.0,mr
321,322,0,3,3,0,27.0,0,0,349219,7.8958,3.0,3.0,mr
322,323,1,2,1,1,30.0,0,0,234818,12.35,2.0,2.0,miss
323,324,1,2,2,1,22.0,1,1,248738,3.222222222222222,3.0,3.0,mrs
324,325,0,3,3,0,26.5,8,2,CA. 2343,0.574793388429752,3.0,3.0,mr
325,326,1,1,1,1,36.0,0,0,PC 17760,135.6333,C32,1.0,miss
326,327,0,3,3,0,61.0,0,0,345364,6.2375,3.0,3.0,mr
327,328,1,2,2,1,36.0,0,0,28551,13.0,D,3.0,mrs
328,329,1,3,2,1,31.0,1,1,363291,2.2805555555555554,3.0,3.0,mrs
329,330,1,1,1,1,16.0,0,1,111361,14.4948,B18,1.0,miss
330,331,1,3,1,1,21.8,2,0,367226,2.5833333333333335,2.0,2.0,miss
331,332,0,1,3,0,45.5,0,0,113043,28.5,C124,3.0,mr
332,333,0,1,3,0,38.0,0,1,PC 17582,38.365625,C91,3.0,mr
333,334,0,3,3,0,16.0,2,0,345764,2.0,3.0,3.0,mr
334,335,1,1,2,1,34.6,1,0,PC 17611,33.4125,3.0,3.0,mrs
335,336,0,3,3,0,26.5,0,0,349225,7.8958,3.0,3.0,mr
336,337,0,1,3,0,29.0,1,0,113776,16.65,C2,3.0,mr
337,338,1,1,1,1,41.0,0,0,16966,134.5,E40,1.0,miss
338,339,1,3,3,0,45.0,0,0,7598,8.05,3.0,3.0,mr
339,340,0,1,3,0,45.0,0,0,113784,35.5,T,3.0,mr
340,341,1,2,6,0,2.0,1,1,230080,2.888888888888889,F2,3.0,master
341,342,1,1,1,1,24.0,3,2,19950,7.305555555555556,C23 C25 C27,3.0,miss
